PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
77/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE BOTIJÃO GLP 13 KG E 45 KG ;2;R$ 15.225,00;PALMAS;INCLUÍDO
78/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SEGURO DE MÁQUINAS E IMPLEMENTOS AGRÍCOLAS;1;R$ 1.624,27;PALMAS;INCLUÍDO
79/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;4;R$ 43.302,56;CAMPO LARGO;INCLUÍDO
80/2021;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, PARA ATENDIMENTO AO PNAE;12;R$ 25.692,74;IRATI;INCLUÍDO
81/2021;AQUISIÇÃO DE CANCELA PARA ESTACIONAMENTO DA REITORIA;1;R$ 4.826,76;REITORIA;INCLUÍDO
83/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS ADVINDOS DA AGRICULTURA FAMILIAR ATRÁVES DE RECURSOS ORIUNDOS DO PNAE;1;R$ 7.394,40;PITANGA;INCLUÍDO
84/2021;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, PARA ATENDIMENTO AO PNAE;2;R$ 13.270,50;UNIÃO DA VITÓRIA;INCLUÍDO
85/2021;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, PARA ATENDIMENTO AO PNAE;1;R$ 24.467,87;JACAREZINHO;INCLUÍDO
87/2021;CONTRATAÇÃO DE EMPRESA PARA PRETAÇÃO DE SERVIÇOS DE TELEFONIA FIXA COMUTADA LOCAL COM DISCAGEM DIRETA A RAMA (STFC-DDR) E SERVIÇOS DE TELEFONIA CONVECIONAL;1;R$ 3.583,47;PARANAVAÍ;INCLUÍDO
88/2021;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO, DESRATIZAÇÃO E LIMPEZA DE CAIXA D'ÁGUA;3;R$ 4.592,00;QUEDAS DO IGUAÇU;INCLUÍDO
89/2021;CONTRATAÇÃO DE FUNDAÇÃO DE APOIO PARA EXECUÇÃO DE RECURSOS FINANCEIROS CAPTADOS ATRAVÉS DE PROJETO CONTEMPLADO EM CHAMADA PÚBLICA REALIZADO PELA FUNDAÇÃO ARAUCÁRIA;1;R$ 11.683,41;LONDRINA;INCLUÍDO
90/2021;AQUISIÇÃO DE KITS DE ALIMENTOS NÃO PERECÍVEIS (ITENS DE MERCADO) DESTINADA AO ATENDIMENTO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE), NO ÂMBITO DO IFPR CAMPUS UNIÃO DA VITÓRIA;1;R$ 8.183,25;UNIÃO DA VITÓRIA;INCLUÍDO
91/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE MATERIAIS DE CONSUMO DE INFRAESTRUTURA, PARA ATENDER ÀS NECESSIDADES DO CAMPUS FOZ DO IGUAÇU;31;R$ 13.125,30;FOZ DO IGUAÇU;INCLUÍDO
92/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO DE GERADOR DE ENERGIA.;1;R$ 8.490,00;EAD;INCLUÍDO
93/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE RECARGA DE GÁS GLP PARA O IFPR CAMPUS CASCAVEL.;3;R$ 1.860,00;CASCAVEL;INCLUÍDO
94/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE REPOSIÇÃO DE PEÇAS, MANUTENÇÃO E REVISÃO EM VEÍCULO DA FROTA DO IFPR CAMPUS IRATI.;2;R$ 2.092,70;IRATI;INCLUÍDO
95/2021;A CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE ELABORAÇÃO DE PROJETO DE ADEQUAÇÃO DA CABINE DE MEDIÇÃO E INSTALAÇÃO DE RELÉ DE PROTEÇÃO, PARA ATENDER A DEMANDA DO INSTITUTO FEDERAL DO PARANÁ - CAMPUS JACAREZINHO.;1;R$ 10.500,00;JACAREZINHO;INCLUÍDO
96/2021;O PRESENTE PROCESSO TEM COMO OBJETIVO A CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE ROÇAGEM DE ÁREAS VERDES PARA ATENDER A DEMANDA DO INSTITUTO FEDERAL DO PARANÁ - CAMPUS JACAREZINHO.;1;R$ 9.900,00;JACAREZINHO;INCLUÍDO
98/2021;A AQUISIÇÃO DE MATERIAIS ELÉTRICOS PARA ATENDER A DEMANDA DE ADEQUAÇÃO DOS LABORATÓRIOS DO IFPR - CAMPUS JACAREZINHO.;6;R$ 510,80;JACAREZINHO;INCLUÍDO
99/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS TOPOGRÁFICOS  PARA REGULARIZAÇÃO DO IMÓVEL DO IFPR CAMPUS PALMAS, CONFORME MATRÍCULA 6864 DO REGISTRO DE IMÓVEIS DA COMARCA DE PALMAS-PR, COM ÁREA APROXIMADA DE 67,7224 HECTARES. SERVIÇO DE  LEVANTAMENTO DA ÁREA TOTAL DO IMÓVEL, GEORREFERENCIAMENTO, ALINHAMENTO DOS MARCOS PARA CONSTRUÇÃO DE CERCAS E ENTREGA DE MATRÍCULA ATUALIZADA COM AS RESPECTIVAS AVERBAÇÕES.;1;R$ 13.200,00;PALMAS;INCLUÍDO
100/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA RECARGA DE EXTINTORES DE INCÊNDIO, TESTE HIDROSTÁTICO E MANUTENÇÃO EXTINTORES E MANGUEIRAS DE HIDRANTES DO IFPR CAMPUS CASCAVEL;5;R$ 5.018,00;CASCAVEL;INCLUÍDO
101/2021;A AQUISIÇÃO DE MATERIAIS HIDRÁULICOS PARA ATENDER A DEMANDA DO IFPR - CAMPUS JACAREZINHO.;2;R$ 1.105,00;JACAREZINHO;INCLUÍDO
102/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE MONITORAÇÃO RADIOLÓGICA COM FORNECIMENTO DE DOSIMETRIA;1;R$ 6.086,04;CURITIBA;INCLUÍDO
103/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO DE EQUIPAMENTO AUTOCLAVE MARCA STERMAX DO IFPR CAMPUS CASCAVEL;1;R$ 300,00;CASCAVEL;INCLUÍDO
104/2021;AQUISIÇÃO DE KITS DE ALIMENTÇÃO NÃO PERECÍVEIS (ITENS DE MERCADO) A SEREM ENTREGUES AOS ALUNOS DO IFPR CAMPUS AVANÇADO GOIOERÊ PARA EXECUÇÃO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE 2021.;1;R$ 9.757,52;GOIOERÊ;INCLUÍDO
105/2021;RENOVAÇÃO DO SEGURO DA FROTA DE VEÍCULOS DO INSTITUTO FEDERAL DO PARANÁ - CAMPUS PALMAS;1;R$ 3.849,21;PALMAS;INCLUÍDO
106/2021;MANUTENÇÃO VEICULAR - FORD RANGER;1;R$ 952,00;REITORIA;INCLUÍDO
108/2021;AQUISIÇÃO  DE UMA UNIDADE DE ACUMULADOR 100 AMPERE (AH) 12 VOLTS ( BATERIA) PARA SER UTILIZADO NO VEÍCULO TRATOR JOHN DEERE, UTILIZADO PELO EIXO DE RECURSOS NATURAIS DO INSTITUTO FEDERAL DO PARANÁ - CAMPUS IVAIPORÃ.;1;R$ 650,00;IVAIPORÃ;INCLUÍDO
109/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO DA AGRICULTURA FAMILILIAR PARA EXECUÇÃO DO PNAE - CAMPUS IVAIPORÃ.;1;R$ 19.045,24;IVAIPORÃ;INCLUÍDO
110/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS;1;R$ 21.295,74;UMUARAMA;INCLUÍDO
112/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE RETIRADA E INSTALAÇAO DE AR CONDICIONADO.;1;R$ 2.210,00;PALMAS;INCLUÍDO
113/2021;AQUISIÇÃO DE AQUISIÇÃO DE WEBCAMS E MICROFONES DE LAPELA, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO;2;R$ 3.788,00;UNIÃO DA VITÓRIA;INCLUÍDO
114/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MECANICA AUTOMOTIVA;1;R$ 744,75;EAD;INCLUÍDO
115/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REPARO NA REDE ELÉTRICA INTERNA DO CAMPUS FOZ DO IGUAÇU.;1;R$ 525,00;FOZ DO IGUAÇU;INCLUÍDO
116/2021;CONTRATAÇÃO DE FUNDAÇÃO DE APOIO PARA EXECUÇÃO DE RECURSOS DESCENTRALIZADOS PARA VIABILIZAR O APOIO FINANCEIRO DO PROJETO SMART HARPIA APROVADO NO EDITAL N.º 14/2020 - BIODIVERSIDADE DO PARANÁ - CONSERVATHON 2020, REALIZADO PELA FUNDAÇÃO ARAUCÁRIA & FUNDAÇÃO GRUPO O BOTICÁRIO DE PROTEÇÃO À NATUREZA.;1;R$ 19.472,70;PARANAGUÁ;INCLUÍDO
117/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS RELATIVO A SEGURO PREDIAL PARA O INSTITUTO FEDERAL DO PARANÁ - CAMPUS AVANÇADO QUEDAS DO IGUAÇU;1;R$ 4.231,39;QUEDAS DO IGUAÇU;INCLUÍDO
118/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE CILINDRO GLP 45 KG - RECARGA;1;R$ 1.050,00;ASSIS CHATEAUBRIAND;INCLUÍDO
119/2021;AQUISIÇÃO E INSTALAÇÃO DE DIVISÓRIAS.;3;R$ 13.024,00;GOIOERÊ;INCLUÍDO
120/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS (ITENS DE MERCADO) A SEREM ENTREGUES AOS ALUNOS DO IFPR CAMPUS PINHAIS PARA EXECUÇÃO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE 2021.;8;R$ 10.357,10;PINHAIS;INCLUÍDO
122/2021;AQUISIÇÃO DE TOTENS DISPLAY PERSONALIZADOS PARA ÁLCOOL EM GEL COM PEDAL CONFORME CONDIÇÕES, QUANTIDADE E EXIGÊNCIAS ESTABELECIDAS.;1;R$ 2.640,00;PITANGA;INCLUÍDO
121/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO SOB DEMANDA DE CÓDIGOS DOI (DIGITAL OBJECT IDENTIFIER) NECESSÁRIOS À REGULAR PUBLICAÇÃO DOS TEXTOS CIENTÍFICOS DA REVISTA MUNDI DO IFPR.;1;R$ 3.270,00;PARANAGUÁ;INCLUÍDO
123/2021;AQUISIÇÃO DE MATERIAL DE EXPEDIENTE (RIBBON RESINA).;1;R$ 8.058,45;PARANAVAÍ;INCLUÍDO
124/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE RECARGA DE ÁGUA MINERAL SEM GÁS PARA GALÃO DE 20 LITROS CONFORME A DEMANDA DO CAMPUS PALMAS;1;R$ 4.599,99;PALMAS;INCLUÍDO
125/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS;1;R$ 6.795,20;ASTORGA;INCLUÍDO
126/2021;SEGURO PREDIAL DO CAMPUS A. ARAPONGAS;1;R$ 4.226,68;ARAPONGAS;INCLUÍDO
127/2021;DESRATIZAÇÃO DO CAMPUS A. ASTORGA;1;R$ 2.959,66;ASTORGA;INCLUÍDO
128/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS;9;R$ 12.561,30;JAGUARIAÍVA;INCLUÍDO
129/2021;SERVIÇOS DE PUBLICAÇÕES LEGAIS;1;R$ 405,00;PARANAVAÍ;INCLUÍDO
130/2021;AQUISIÇÃO E ITENS DE MANUTENÇÃO PARA OS LABORATÓRIOS DE QUÍMICA E BIOLOGIA DO CAMPUS CASCAVEL;24;R$ 4.935,84;CASCAVEL;INCLUÍDO
131/2021;AQUISIÇÃO DE KITS DE ALIMENTÇÃO NÃO PERECÍVEIS (ITENS DE MERCADO) A SEREM ENTREGUES AOS ALUNOS DO IFPR CAMPUS AVANÇADO GOIOERÊ PARA EXECUÇÃO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE 2021;1;R$ 10.916,72;GOIOERÊ;INCLUÍDO
132/2021;SEGURO PREDIAL DO CAMPUS JACAREZINHO;1;R$ 8.058,45;JACAREZINHO;INCLUÍDO
133/2021;SEGURO PREDIAL DO CAMPUS A. ASTORGA;1;R$ 5.141,60;ASTORGA;INCLUÍDO
134/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA RECARGA E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO, TESTE HIDROSTÁTICO E MANUTENÇÃO DE MANGUEIRAS DE HIDRANTES DO IFPR CAMPUS UNIÃO DA VITÓRIA PARA O ANO DE 2021.;5;R$ 2.223,50;UNIÃO DA VITÓRIA;INCLUÍDO
135/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR, PARA O ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE) - IFPR / CAMPUS PINHAIS.;15;R$ 22.143,30;PINHAIS;INCLUÍDO
136/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LEVANTAMENTO PLANIMÉT RICO CADASTRAL PARA FINS DE UNIFICAÇÃO DOS LOTE S PERTENCENTES ÀS MATRÍCULAS 15.404/1 E 15.405/ 1, COM SERVIÇOS DE PRODUÇÃO DE MAPAS, MEMORIAIS , ARTs E ANUÊNCIAS NECESSÁRIAS À APRESENTAÇÃO P ARA A DIVISÃO DE ESTUDOS E PROJETOS MUNICIPAL E AO REGISTRO DE IMÓVEIS.;1;R$ 800,00;PALMAS;INCLUÍDO
137/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS TOPOGRÁFICOS PARA O CAMPUS AVANÇADO CORONEL VIVIDA EXERCÍCIO DE 2021;1;R$ 800,00;CORONEL VIVIDA;INCLUÍDO
138/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS (CESTAS BÁSICAS DE ALIMENTOS NÃO PERECÍVEIS), COM RECURSOS ADVINDOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE, PARA ATENDIMENTO AOS DISCENTES DO IFPR CAMPUS AVANÇADO QUEDAS DO IGUAÇU.;1;R$ 3.994,32;QUEDAS DO IGUAÇU;INCLUÍDO
139/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS GRÁFICOS PARA O IFPR - CAMPUS PALMAS EXERCÍCIO 2021.;1;R$ 14.500,00;PALMAS;INCLUÍDO
140/2021;AQUISIÇÃO DE PACOTES DE CAFE DE 500G, PARA ATENDER AS DEMANDAS DO CAMPUS CURITIBA;1;R$ 11.074,80;CURITIBA;INCLUÍDO
141/2021;CONTRATAÇÃO DE SERVIÇO DE HOSPEDAGEM E MANUTENÇÃO DE SOLUÇÃO TIC;1;R$ 17.000,00;EAD;INCLUÍDO
143/2021;AQUISIÇÃO DE TOTENS DE ÁLCOOL EM GEL, COM PEDAL;1;R$ 1.300,00;PARANAVAÍ;INCLUÍDO
146/2021;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS LONDRINA;1;R$ 7.800,66;LONDRINA;INCLUÍDO
147/2021;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS AVANÇADO BARRACÃO;1;R$ 8.387,03;BARRACÃO;INCLUÍDO
148/2021;AQUISIÇÃO DE ADAPTADORES 24+1 DVI-D MACHO PARA HDMI FÊMEA;1;R$ 292,00;PARANAVAÍ;INCLUÍDO
149/2021;AQUISIÇÃO DE LIXEIRAS PLÁSTICAS COM PEDRAL – LIXEIRA COM TAMPA ACIONADA POR PEDAL. CAPACIDADE: 15L.;1;R$ 738,20;PITANGA;INCLUÍDO
150/2021;AQUISIÇÃO DE RECARGA PARA EXTINTORES DE INCÊNDIO;6;R$ 1.643,00;JACAREZINHO;INCLUÍDO
151/2021;AQUISIÇÃO DE ITENS DE ALIMENTAÇÃO DA AGRICULTURA FAMILIAR PARA EXECUÇÃO DO PNAE - CAMPUS PALMAS.;12;R$ 22.856,60;PALMAS;INCLUÍDO
153/2021;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS PARANAGUÁ;1;R$ 4.577,01;PARANAGUÁ;INCLUÍDO
154/2021;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS TELÊMACO BORBA;1;R$ 4.000,00;TELEMÂCO BORBA;INCLUÍDO
156/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, PARA O ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE) - IFPR / CAMPUS PARANAGUÁ.;13;R$ 32.471,03;PARANAGUÁ ;INCLUÍDO
158/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO, DESRATIZAÇÃO E LIMPEZA DE CAIXAS D'ÁGUA AO IFPR;1;R$ 5.039,76;COLOMBO;INCLUÍDO
161/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE COLETA E ENTREGA DE SEDEX, CAIXA POSTAL, CORREIO INTERNACIONAL, MALA DIRETA PARA TODAS AS NOSSAS 28 UNIDADES DO IFPR.;1;R$ 440.706,90;REITORIA;INCLUÍDO
164/2021;AQUISIÇÃO DE OXÍMETROS;1;R$ 167,30;PARANAVAÍ;INCLUÍDO
165/2021;AQUISIÇÃO DE TOTENS DE ÁLCOOL EM GEL, COM PEDAL;1;R$ 167,30;JACAREZINHO;INCLUÍDO
167/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO, DESRATIZAÇÃO E LIMPEZA DE CAIXAS D'ÁGUA AO IFPR;3;R$ 3.994,32;JAGUARIAÍVA;INCLUÍDO
168/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ELABORAÇÃO E ESTUDOS TÉCNICOS E PROJETO PARA CONSTRUÇÃO DO TREVO DE ACESSO PARA O IFPR, CAMPUS AVANÇADO CORONEL VIVIDA, EXERCÍCIO 2021.;1;R$ 30.960,00;CORONEL VIVIDA;INCLUÍDO
169/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO DE FIBRA ÓPTICA NO IFPR CAMPUS PALMAS, COM FORNECIMENTO DOS MATERIAIS NECESSÁRIOS PARA REALIZAÇÃO DAS INSTALAÇÕES E MONTAGEM DA REDE.;1;R$ 17.400,00;PALMAS;INCLUÍDO
175/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR, PARA O ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE) - IFPR CAMPUS CASCAVEL.;1;R$ 7.454,56;QUEDAS DO IGUAÇU;INCLUÍDO
;;;;;
CONVITE;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO
01/2020;Contratação de Pessoa Jurídica para a construção de Laboratório de Edificações no IFPR - Campus Cascavel.;1;R$ 201.548,81;CASCAVEL;
01/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE ACESSIBILIDADE - ESTACIONAMENTO, DRENAGEM E ILUMINAÇÃO;1;R$ 312.404,88;CASCAVEL;INCLUÍDO
01/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de construção de Laboratório de de Processos Construtivos no IFPR - Campus Umuarama, conforme condições, quantidades e exigências estabelecidas neste Convite e seus anexos.;1;R$ 328.907,51;UMUARAMA;
01/2020;O objeto da licitação é contratação de empresa especializada para execução de obra de troca de cobertura de áreas do Campus Curitiba do Instituto Federal do Paraná.;1;R$ 82.823,57;CURITIBA;
03/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DO ESPAÇO KIDS DO IFPR CAMPUS PALMAS, CONFORME, CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDADAS NO EDITAL E SEUS ANEXOS ;1;R$ 329.790,36;PALMAS;INCLUÍDO
;;;;;
CONCORRÊNCIA;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO
01/2019;CONCESSÃO ONEROSA DE USO DE ESPAÇO FÍSICO PARA FINS COMERCIAIS no ramo de CANTINA/LANCHONETE, em área destinada a esta finalidade no Bloco I, prédio do Instituto Federal do Paraná – Campus Assis Chateaubriand, situado na Avenida Cívica, 475 – Centro Cívico – no município de Assis Chateaubriand – PR, sendo esta área de 72,15 m² (setenta e dois, vírgula quinze metros quadrados). ;1;R$ 150,46;Assis Chateaubriand;
01/2019;Concessão não onerosa de uso de espaço físico para serviços de cantina no IFPR - Campus Pitanga. ;1;R$ 73,09;Pitanga;
01/2020;Concessão de uso de espaço físico destinada à exploração de serviços de lanchonete/cantina nas instalações do IFPR – Campus Cascavel, situado à Avenida das Pombas, 2020 -  Bairro Floresta - Cascavel– PR.;1;R$ 111,64;CASCAVEL;
;;;;;
ADESÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO
01/2019;ESTUFA ELÉTRICA PARA COZINHA;1;R$ 5.161,05;ASSIS CHATEAUBRIAND;
02/2019;Equipamentos de refrigeração;3;R$ 5.136,70;ASSIS CHATEAUBRIAND;
03/2019;TECLADO;1;R$ 773,85;ASSIS CHATEAUBRIAND;
04/2019;FIO ELÉTRICO;2;R$ 2.439,60;ASSIS CHATEAUBRIAND;
05/2019;Mouse e teclado;2;R$ 2.985,60;ASSIS CHATEAUBRIAND;
06/2019;Cortador grama;1;R$ 1.557,59;ASSIS CHATEAUBRIAND;
07/2019;Produtos para plantio;13;R$ 6.013,29;ASSIS CHATEAUBRIAND;
08/2019;CAFÉ;1;R$ 1.408,00;ASSIS CHATEAUBRIAND;
09/2019;Pincel e refil;2;R$ 1.055,25;ASSIS CHATEAUBRIAND;
10/2019;CAFÉ;1;R$ 1.920,00;ASSIS CHATEAUBRIAND;
11/2019;CAFÉ;1;R$ 1.572,50;ASSIS CHATEAUBRIAND;
12/2019;GAVETEIRO MÓVEL;1;R$ 2.078,00;ASSIS CHATEAUBRIAND;
13/2019;Casa vegetação , estufa agrícola;1;R$ 59.365,43;ASSIS CHATEAUBRIAND;
01/2020;Notebook (item 2), qtd. 22, pregão 15/2019 do órgão gerenciador 158139 - INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE;1;R$ 100.100,00;BARRACÃO;
02/2020;Desktop Dell EMC (item 2), qtd 13, pregão 14/2019 do órgão gerenciador 150150 - UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;1;R$ 69.537,00;BARRACÃO;
01/2019;Acervo Bibliográfico;;R$ 70.535,25;CAMPO LARGO;
01/2020;Notebook, qtd. 22 (item 4), pregão 32/2019 do órgão gerenciador 153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;1;R$ 156.750,00;CAPANEMA;
03/2019;FONTE ALIMENTAÇÃO ININTERRUPTA;1;R$ 3.000,00;CASCAVEL;
04/2019;CORTINA;1;R$ 23.983,20;CASCAVEL;
05/2019;COMPUTADOR;1;R$ 14.400,00;CASCAVEL;
06/2019;MÁQUINA UNIVERSAL ENSAIOS / PEÇAS E ACESSÓRIOS ;1;R$ 5.800,00;CASCAVEL;
07/2019;BEBEDOURO ÁGUA;1;R$ 1.731,90;CASCAVEL;
08/2019;Equipamentos de química;5;R$ 25.460,90;CASCAVEL;
10/2019;Acessórios para estudo,treinamento;1;R$ 1.249,59;CASCAVEL;
11/2019;MÓVEL MULTIUSO;1;R$ 12.136,00;CASCAVEL;
12/2019;Peça , componente equipamento agrícola;1;R$ 11.123,46;CASCAVEL;
13/2019;Notebook;1;R$ 26.760,00;CASCAVEL;
16/2019;GAVETEIRO MÓVEL;1;R$ 15.257,00;CASCAVEL;
17/2019;Tela;1;R$ 1.171,50;CASCAVEL;
18/2019;CHALEIRA DE METAL;1;R$ 186,50;CASCAVEL;
20/2019;Caixa som ;1;R$ 2.700,00;CASCAVEL;
21/2019;Utensílio doméstico;1;R$ 34.362,85;CASCAVEL;
22/2019;Polarímetro;1;R$ 19.965,99;CASCAVEL;
01/2019;CAMISETA;1;R$ 1.701,00;CURITIBA;
02/2019;ACESSÓRIO/COMPONENTE ELÉTRICO ELETRÔNICO;1;R$ 3.578,00;CURITIBA;
03/2019;CABO ELÉTRICO ;1;R$ 496,80;CURITIBA;
04/2019;PINÇA CIRÚRGICA;2;R$ 54,42;CURITIBA;
05/2019;JALECO;1;R$ 184,04;CURITIBA;
06/2019;ÁLCOOL ETÍLICO;1;R$ 874,50;CURITIBA;
07/2019;EQUIPAMENTOS DE CONTROLE ELÉTRICO;1;R$ 817,80;CURITIBA;
08/2019;REDE INFORMÁTICA;3;R$ 9.156,80;CURITIBA;
09/2019;ESTANTE RACK;1;R$ 320,00;CURITIBA;
10/2019;PATCH PANEL;1;R$ 689,94;CURITIBA;
11/2019;SWITCH;1;R$ 13.380,00;CURITIBA;
12/2019;LIVRO;1;R$ 97.483,50;CURITIBA;
SI;Máquina de lavar roupa;;R$ 1.749,00;IRATI;
SI;Bolas de voleibol;;R$ 2.925,00;IRATI;
SI;Container de lixo;;R$ 1.536,67;IRATI;
SI;Conjunto escolar;;R$ 64.000,00;IRATI;
SI;Estufa agrícola;;R$ 54.203,04;IRATI;
SI;Calcário;;R$ 6.998,25;IRATI;
SI;Aquisição de 2 unid. impressoras 3D;;R$ 13.998,00;IVAIPORÃ;
SI;Aquisição de 01 unid. bancada de máquinas elétricas;;R$ 112.100,00;IVAIPORÃ;
SI;Aquisição de 02 unid. centrífugas;;R$ 11.991,06;IVAIPORÃ;
